表記,読み,品詞,語種
けんか,ケンカ,名詞-普通名詞-サ変可能,漢
近所,キンジョ,名詞-普通名詞-一般,漢
失敗,シッパイ,名詞-普通名詞-サ変可能,漢
専門,センモン,名詞-普通名詞-一般,漢
研究,ケンキュウ,名詞-普通名詞-サ変可能,漢
世話,セワ,名詞-普通名詞-サ変可能,漢
具合,グアイ,名詞-普通名詞-一般,混
表,ヒョウ,名詞-普通名詞-一般,漢
将来,ショウライ,名詞-普通名詞-副詞可能,漢
準備,ジュンビ,名詞-普通名詞-サ変可能,漢
社長,シャチョウ,名詞-普通名詞-一般,漢
先輩,センパイ,名詞-普通名詞-一般,漢
住所,ジュウショ,名詞-普通名詞-一般,漢
両方,リョウホウ,名詞-普通名詞-一般,漢
都,ト,名詞-普通名詞-一般,漢
失礼,シツレイ,名詞-普通名詞-サ変形状詞可能,漢
ビル,ビル,名詞-普通名詞-一般,外
安全,アンゼン,名詞-普通名詞-形状詞可能,漢
趣味,シュミ,名詞-普通名詞-一般,漢
熱,ネツ,名詞-普通名詞-一般,漢
卒業,ソツギョウ,名詞-普通名詞-サ変可能,漢
布団,フトン,名詞-普通名詞-一般,漢
案内,アンナイ,名詞-普通名詞-サ変可能,漢
機会,キカイ,名詞-普通名詞-一般,漢
スーパー,スーパー,名詞-普通名詞-一般,外
戦争,センソウ,名詞-普通名詞-サ変可能,漢
計画,ケイカク,名詞-普通名詞-サ変可能,漢
試験,シケン,名詞-普通名詞-サ変可能,漢
区,ク,名詞-普通名詞-一般,漢
適当,テキトウ,名詞-普通名詞-サ変形状詞可能,漢
邪魔,ジャマ,名詞-普通名詞-サ変形状詞可能,漢
技術,ギジュツ,名詞-普通名詞-一般,漢
承知,ショウチ,名詞-普通名詞-サ変可能,漢
政治,セイジ,名詞-普通名詞-一般,漢
歴史,レキシ,名詞-普通名詞-一般,漢
米,ベイ,名詞-普通名詞-一般,漢
交通,コウツウ,名詞-普通名詞-サ変可能,漢
漫画,マンガ,名詞-普通名詞-一般,漢
入院,ニュウイン,名詞-普通名詞-サ変可能,漢
以内,イナイ,名詞-普通名詞-副詞可能,漢
遠慮,エンリョ,名詞-普通名詞-サ変可能,漢
教育,キョウイク,名詞-普通名詞-サ変可能,漢
道具,ドウグ,名詞-普通名詞-一般,漢
小説,ショウセツ,名詞-普通名詞-一般,漢
空港,クウコウ,名詞-普通名詞-一般,漢
留守,ルス,名詞-普通名詞-サ変可能,漢
季節,キセツ,名詞-普通名詞-一般,漢
プレゼント,プレゼント,名詞-普通名詞-サ変可能,外
経済,ケイザイ,名詞-普通名詞-一般,漢
出発,シュッパツ,名詞-普通名詞-サ変可能,漢
機械,キカイ,名詞-普通名詞-一般,漢
祖母,ソボ,名詞-普通名詞-一般,漢
法律,ホウリツ,名詞-普通名詞-一般,漢
予約,ヨヤク,名詞-普通名詞-サ変可能,漢
工場,コウジョウ,名詞-普通名詞-一般,漢
みそ,ミソ,名詞-普通名詞-一般,漢
今夜,コンヤ,名詞-普通名詞-副詞可能,漢
文化,ブンカ,名詞-普通名詞-一般,漢
人形,ニンギョウ,名詞-普通名詞-一般,漢
親切,シンセツ,名詞-普通名詞-形状詞可能,漢
スーツ,スーツ,名詞-普通名詞-一般,外
アルバイト,アルバイト,名詞-普通名詞-サ変可能,外
部長,ブチョウ,名詞-普通名詞-一般,漢
店員,テンイン,名詞-普通名詞-一般,漢
コンピューター,コンピューター,名詞-普通名詞-一般,外
習慣,シュウカン,名詞-普通名詞-一般,漢
ガス,ガス,名詞-普通名詞-一般,外
複雑,フクザツ,名詞-普通名詞-形状詞可能,漢
祖父,ソフ,名詞-普通名詞-一般,漢
ケーキ,ケーキ,名詞-普通名詞-一般,外
嬢,ジョウ,名詞-普通名詞-一般,漢
台風,タイフウ,名詞-普通名詞-一般,漢
出席,シュッセキ,名詞-普通名詞-サ変可能,漢
会場,カイジョウ,名詞-普通名詞-一般,漢
教会,キョウカイ,名詞-普通名詞-一般,漢
パート,パート,名詞-普通名詞-一般,外
正月,ショウガツ,名詞-普通名詞-一般,漢
国際,コクサイ,名詞-普通名詞-一般,漢
パパ,パパ,名詞-普通名詞-一般,外
神社,ジンジャ,名詞-普通名詞-一般,漢
会議,カイギ,名詞-普通名詞-サ変可能,漢
ベル,ベル,名詞-普通名詞-一般,外
招待,ショウタイ,名詞-普通名詞-サ変可能,漢
科学,カガク,名詞-普通名詞-サ変可能,漢
海岸,カイガン,名詞-普通名詞-一般,漢
ガソリン,ガソリン,名詞-普通名詞-一般,外
旅館,リョカン,名詞-普通名詞-一般,漢
カーテン,カーテン,名詞-普通名詞-一般,外
ピアノ,ピアノ,名詞-普通名詞-一般,外
中止,チュウシ,名詞-普通名詞-サ変可能,漢
オーバー,オーバー,名詞-普通名詞-サ変形状詞可能,外
入学,ニュウガク,名詞-普通名詞-サ変可能,漢
規則,キソク,名詞-普通名詞-一般,漢
市民,シミン,名詞-普通名詞-一般,漢
支度,シタク,名詞-普通名詞-サ変可能,漢
アルコール,アルコール,名詞-普通名詞-一般,外
赤ん坊,アカンボウ,名詞-普通名詞-一般,混
見物,ケンブツ,名詞-普通名詞-サ変可能,漢
故障,コショウ,名詞-普通名詞-サ変可能,漢
馳走,チソウ,名詞-普通名詞-サ変可能,漢
課長,カチョウ,名詞-普通名詞-一般,漢
用事,ヨウジ,名詞-普通名詞-一般,漢
発音,ハツオン,名詞-普通名詞-サ変可能,漢
不便,フベン,名詞-普通名詞-形状詞可能,漢
輸入,ユニュウ,名詞-普通名詞-サ変可能,漢
文学,ブンガク,名詞-普通名詞-一般,漢
景色,ケシキ,名詞-普通名詞-一般,漢
地震,ジシン,名詞-普通名詞-一般,漢
人口,ジンコウ,名詞-普通名詞-一般,漢
日記,ニッキ,名詞-普通名詞-一般,漢
西洋,セイヨウ,名詞-普通名詞-一般,漢
サラダ,サラダ,名詞-普通名詞-一般,外
テキスト,テキスト,名詞-普通名詞-一般,外
注射,チュウシャ,名詞-普通名詞-サ変可能,漢
校長,コウチョウ,名詞-普通名詞-一般,漢
電灯,デントウ,名詞-普通名詞-一般,漢
生産,セイサン,名詞-普通名詞-サ変可能,漢
コンサート,コンサート,名詞-普通名詞-一般,外
医学,イガク,名詞-普通名詞-一般,漢
レジ,レジ,名詞-普通名詞-一般,外
退院,タイイン,名詞-普通名詞-サ変可能,漢
翻訳,ホンヤク,名詞-普通名詞-サ変可能,漢
アナウンサー,アナウンサー,名詞-普通名詞-一般,外
スクリーン,スクリーン,名詞-普通名詞-一般,外
家内,カナイ,名詞-普通名詞-一般,漢
テニス,テニス,名詞-普通名詞-一般,外
火事,カジ,名詞-普通名詞-一般,漢
数学,スウガク,名詞-普通名詞-一般,漢
拝見,ハイケン,名詞-普通名詞-サ変可能,漢
水道,スイドウ,名詞-普通名詞-一般,漢
暖房,ダンボウ,名詞-普通名詞-サ変可能,漢
水泳,スイエイ,名詞-普通名詞-サ変可能,漢
特急,トッキュウ,名詞-普通名詞-一般,漢
ブドウ,ブドウ,名詞-普通名詞-一般,漢
競争,キョウソウ,名詞-普通名詞-サ変可能,漢
産業,サンギョウ,名詞-普通名詞-一般,漢
アクセサリー,アクセサリー,名詞-普通名詞-一般,外
郊外,コウガイ,名詞-普通名詞-一般,漢
サンダル,サンダル,名詞-普通名詞-一般,外
急行,キュウコウ,名詞-普通名詞-サ変可能,漢
屋上,オクジョウ,名詞-普通名詞-一般,漢
工業,コウギョウ,名詞-普通名詞-一般,漢
レポート,レポート,名詞-普通名詞-サ変可能,外
講義,コウギ,名詞-普通名詞-サ変可能,漢
下宿,ゲシュク,名詞-普通名詞-サ変可能,漢
汽車,キシャ,名詞-普通名詞-一般,漢
地理,チリ,名詞-普通名詞-一般,漢
オートバイ,オートバイ,名詞-普通名詞-一般,外
サンドイッチ,サンドイッチ,名詞-普通名詞-一般,外
貿易,ボウエキ,名詞-普通名詞-サ変可能,漢
冷房,レイボウ,名詞-普通名詞-サ変可能,漢
スーツケース,スーツケース,名詞-普通名詞-一般,外
辞典,ジテン,名詞-普通名詞-一般,漢
木綿,モメン,名詞-普通名詞-一般,漢
ステレオ,ステレオ,名詞-普通名詞-一般,外
ステーキ,ステーキ,名詞-普通名詞-一般,外
柔道,ジュウドウ,名詞-普通名詞-一般,漢
ワープロ,ワープロ,名詞-普通名詞-一般,外
ジャム,ジャム,名詞-普通名詞-一般,外
学部,ガクブ,名詞-普通名詞-一般,漢
文法,ブンポウ,名詞-普通名詞-一般,漢
ハンバーグ,ハンバーグ,名詞-普通名詞-一般,外
電報,デンポウ,名詞-普通名詞-一般,漢
エスカレーター,エスカレーター,名詞-普通名詞-一般,外
輸出,ユシュツ,名詞-普通名詞-サ変可能,漢
寝坊,ネボウ,名詞-普通名詞-形状詞可能,混
講堂,コウドウ,名詞-普通名詞-一般,漢
予習,ヨシュウ,名詞-普通名詞-サ変可能,漢
復習,フクシュウ,名詞-普通名詞-サ変可能,漢
展覧,テンラン,名詞-普通名詞-サ変可能,漢
日本,ニッポン,名詞-固有名詞-地名-国,固
他,タ／ホカ,名詞-普通名詞-副詞可能,漢
人間,ニンゲン,名詞-普通名詞-一般,漢
方法,ホウホウ,名詞-普通名詞-一般,漢
法,ホウ,名詞-普通名詞-一般,漢
現在,ゲンザイ,名詞-普通名詞-副詞可能,漢
存在,ソンザイ,名詞-普通名詞-サ変可能,漢
情報,ジョウホウ,名詞-普通名詞-一般,漢
地,チ,名詞-普通名詞-一般,漢
結果,ケッカ,名詞-普通名詞-副詞可能,漢
中国,チュウゴク,名詞-固有名詞-地名-国,固
実,ジツ,名詞-普通名詞-一般,漢
部分,ブブン,名詞-普通名詞-一般,漢
自然,シゼン,名詞-普通名詞-一般,漢
状態,ジョウタイ,名詞-普通名詞-一般,漢
主義,シュギ,名詞-普通名詞-一般,漢
実際,ジッサイ,名詞-普通名詞-副詞可能,漢
一般,イッパン,名詞-普通名詞-一般,漢
学,ガク,名詞-普通名詞-一般,漢
自身,ジシン,名詞-普通名詞-副詞可能,漢
当時,トウジ,名詞-普通名詞-副詞可能,漢
内容,ナイヨウ,名詞-普通名詞-一般,漢
地域,チイキ,名詞-普通名詞-一般,漢
感,カン,名詞-普通名詞-一般,漢
活動,カツドウ,名詞-普通名詞-サ変可能,漢
意識,イシキ,名詞-普通名詞-サ変可能,漢
程度,テイド,名詞-普通名詞-一般,漢
理解,リカイ,名詞-普通名詞-サ変可能,漢
状況,ジョウキョウ,名詞-普通名詞-一般,漢
例,レイ,名詞-普通名詞-一般,漢
中心,チュウシン,名詞-普通名詞-一般,漢
一方,イッポウ,名詞-普通名詞-副詞可能,漢
使用,シヨウ,名詞-普通名詞-サ変可能,漢
目的,モクテキ,名詞-普通名詞-一般,漢
評価,ヒョウカ,名詞-普通名詞-サ変可能,漢
個人,コジン,名詞-普通名詞-一般,漢
行動,コウドウ,名詞-普通名詞-サ変可能,漢
事件,ジケン,名詞-普通名詞-一般,漢
基本,キホン,名詞-普通名詞-一般,漢
事実,ジジツ,名詞-普通名詞-副詞可能,漢
昭和,ショウワ,名詞-固有名詞-一般,固
全体,ゼンタイ,名詞-普通名詞-一般,漢
変化,ヘンカ,名詞-普通名詞-サ変可能,漢
精神,セイシン,名詞-普通名詞-一般,漢
同時,ドウジ,名詞-普通名詞-一般,漢
影響,エイキョウ,名詞-普通名詞-サ変可能,漢
労働,ロウドウ,名詞-普通名詞-サ変可能,漢
環境,カンキョウ,名詞-普通名詞-一般,漢
世紀,セイキ,名詞-普通名詞-一般,漢
図,ズ,名詞-普通名詞-一般,漢
制度,セイド,名詞-普通名詞-一般,漢
効果,コウカ,名詞-普通名詞-一般,漢
以前,イゼン,名詞-普通名詞-副詞可能,漢
面,メン,名詞-普通名詞-一般,漢
地方,チホウ,名詞-普通名詞-一般,漢
調査,チョウサ,名詞-普通名詞-サ変可能,漢
時期,ジキ,名詞-普通名詞-副詞可能,漢
論,ロン,名詞-普通名詞-一般,漢
政府,セイフ,名詞-普通名詞-一般,漢
自己,ジコ,名詞-普通名詞-一般,漢
感じ,カンジ,名詞-普通名詞-一般,混
確認,カクニン,名詞-普通名詞-サ変可能,漢
際,サイ,名詞-普通名詞-副詞可能,漢
責任,セキニン,名詞-普通名詞-一般,漢
企業,キギョウ,名詞-普通名詞-一般,漢
事業,ジギョウ,名詞-普通名詞-一般,漢
現実,ゲンジツ,名詞-普通名詞-一般,漢
組織,ソシキ,名詞-普通名詞-サ変可能,漢
管理,カンリ,名詞-普通名詞-サ変可能,漢
