"見出し語彙素
Lexeme","標準的（新聞）表記
Standard (Newspaper) Orthography","標準的読み方（カタカナ）
Standard Reading (Katakana)","品詞
Part of Speech","
語種
Word Origin Type"
毎晩,毎晩,マイバン,名詞-普通名詞-副詞可能,漢
茶碗,茶碗,チャワン,名詞-普通名詞-一般,漢
毎朝,毎朝,マイアサ,名詞-普通名詞-副詞可能,混
毎週,毎週,マイシュウ,名詞-普通名詞-副詞可能,漢
バター,バター,バター,名詞-普通名詞-一般,外
セーター,セーター,セーター,名詞-普通名詞-一般,外
来週,来週,ライシュウ,名詞-普通名詞-副詞可能,漢
マッチ鱻match鼺合致,マッチ,マッチ,名詞-普通名詞-サ変可能,外
レコード,レコード,レコード,名詞-普通名詞-一般,外
今晩,今晩,コンバン,名詞-普通名詞-副詞可能,漢
宿題,宿題,シュクダイ,名詞-普通名詞-一般,漢
先週,先週,センシュウ,名詞-普通名詞-副詞可能,漢
夕飯,夕飯,ユウハン,名詞-普通名詞-一般,混
フォーク鱻fork,フォーク,フォーク,名詞-普通名詞-一般,外
紅茶,紅茶,コウチャ,名詞-普通名詞-一般,漢
来月,来月,ライゲツ,名詞-普通名詞-副詞可能,漢
鉛筆,鉛筆,エンピツ,名詞-普通名詞-一般,漢
水曜,水曜,スイヨウ,名詞-普通名詞-副詞可能,漢
火曜,火曜,カヨウ,名詞-普通名詞-副詞可能,漢
先月,先月,センゲツ,名詞-普通名詞-副詞可能,漢
スリッパ,スリッパ,スリッパ,名詞-普通名詞-一般,外
今週,今週,コンシュウ,名詞-普通名詞-副詞可能,漢
ストーブ,ストーブ,ストーブ,名詞-普通名詞-一般,外
スプーン,スプーン,スプーン,名詞-普通名詞-一般,外
カレンダー,カレンダー,カレンダー,名詞-普通名詞-一般,外
背広,背広,セビロ,名詞-普通名詞-一般,外
木曜,木曜,モクヨウ,名詞-普通名詞-副詞可能,漢
交番,交番,コウバン,名詞-普通名詞-一般,漢
ワイシャツ,ワイシャツ,ワイシャツ,名詞-普通名詞-一般,外
牛肉,牛肉,ギュウニク,名詞-普通名詞-一般,漢
作文,作文,サクブン,名詞-普通名詞-サ変可能,漢
本棚,本棚,ホンダナ,名詞-普通名詞-一般,混
晩御飯,晩御飯,バンゴハン,名詞-普通名詞-一般,漢
花瓶,花瓶,カビン,名詞-普通名詞-一般,漢
ラジカセ,ラジカセ,ラジカセ,名詞-普通名詞-一般,外
鳥肉,鳥肉,トリニク,名詞-普通名詞-一般,混
朝御飯,朝ご飯,アサゴハン,名詞-普通名詞-一般,混
字引き,字引,ジビキ,名詞-普通名詞-一般,混
昼御飯,ひるごはん,ヒルゴハン,名詞-普通名詞-一般,混
気,気,キ,名詞-普通名詞-一般,漢
必要,必要,ヒツヨウ,名詞-普通名詞-形状詞可能,漢
女性,女性,ジョセイ,名詞-普通名詞-一般,漢
以上,以上,イジョウ,名詞-普通名詞-副詞可能,漢
気持ち,気持ち,キモチ,名詞-普通名詞-一般,混
関係,関係,カンケイ,名詞-普通名詞-サ変可能,漢
別,別,ベツ,名詞-普通名詞-形状詞可能,漢
普通,普通,フツウ,名詞-普通名詞-形状詞可能,漢
最近,最近,サイキン,名詞-普通名詞-副詞可能,漢
場所,場所,バショ,名詞-普通名詞-一般,混
以外,以外,イガイ,名詞-普通名詞-副詞可能,漢
最初,最初,サイショ,名詞-普通名詞-副詞可能,漢
理由,理由,リユウ,名詞-普通名詞-一般,漢
駄目,ダメ,ダメ,名詞-普通名詞-形状詞可能,混
説明,説明,セツメイ,名詞-普通名詞-サ変可能,漢
心配,心配,シンパイ,名詞-普通名詞-サ変形状詞可能,漢
生活,生活,セイカツ,名詞-普通名詞-サ変可能,漢
世界,世界,セカイ,名詞-普通名詞-一般,漢
連絡,連絡,レンラク,名詞-普通名詞-サ変可能,漢
最後,最後,サイゴ,名詞-普通名詞-一般,漢
無理,無理,ムリ,名詞-普通名詞-形状詞可能,漢
点,点,テン,名詞-普通名詞-一般,漢
男性,男性,ダンセイ,名詞-普通名詞-一般,漢
時代,時代,ジダイ,名詞-普通名詞-一般,漢
主人,主人,シュジン,名詞-普通名詞-一般,漢
経験,経験,ケイケン,名詞-普通名詞-サ変可能,漢
