"見出し語彙素
Lexeme","標準的（新聞）表記
Standard (Newspaper) Orthography","標準的読み方（カタカナ）
Standard Reading (Katakana)","品詞
Part of Speech","
語種
Word Origin Type"
ソフトウェア,ソフトウェア,ソフトウェア,名詞-普通名詞-一般,外
木材,木材,モクザイ,名詞-普通名詞-一般,漢
総括,総括,ソウカツ,名詞-普通名詞-サ変可能,漢
競馬,競馬,ケイバ,名詞-普通名詞-一般,漢
尿,尿,ニョウ,名詞-普通名詞-一般,漢
父子,父子,フシ,名詞-普通名詞-一般,漢
金色,金色,キンイロ,名詞-普通名詞-一般,混
観測,観測,カンソク,名詞-普通名詞-サ変可能,漢
故人,故人,コジン,名詞-普通名詞-一般,漢
編纂,編纂,ヘンサン,名詞-普通名詞-サ変可能,漢
シャッター,シャッター,シャッター,名詞-普通名詞-一般,外
合致,合致,ガッチ,名詞-普通名詞-サ変可能,漢
公認,公認,コウニン,名詞-普通名詞-サ変可能,漢
新婚,新婚,シンコン,名詞-普通名詞-一般,漢
前夜,前夜,ゼンヤ,名詞-普通名詞-副詞可能,漢
課程,課程,カテイ,名詞-普通名詞-一般,漢
極限,極限,キョクゲン,名詞-普通名詞-一般,漢
カタログ,カタログ,カタログ,名詞-普通名詞-一般,外
名所,名所,メイショ,名詞-普通名詞-一般,漢
立地,立地,リッチ,名詞-普通名詞-サ変可能,漢
報復,報復,ホウフク,名詞-普通名詞-サ変可能,漢
細部,細部,サイブ,名詞-普通名詞-一般,漢
ワゴン,ワゴン,ワゴン,名詞-普通名詞-一般,外
各人,各人,カクジン,名詞-普通名詞-一般,漢
享受,享受,キョウジュ,名詞-普通名詞-サ変可能,漢
思案,思案,シアン,名詞-普通名詞-サ変可能,漢
アンテナ,アンテナ,アンテナ,名詞-普通名詞-一般,外
郷土,郷土,キョウド,名詞-普通名詞-一般,漢
兆候,兆候,チョウコウ,名詞-普通名詞-一般,漢
膨張,膨張,ボウチョウ,名詞-普通名詞-サ変可能,漢
山中,山中,サンチュウ,名詞-普通名詞-一般,漢
クラシック,クラシック,クラシック,名詞-普通名詞-形状詞可能,外
弱点,弱点,ジャクテン,名詞-普通名詞-一般,漢
義母,義母,ギボ,名詞-普通名詞-一般,漢
情景,情景,ジョウケイ,名詞-普通名詞-一般,漢
判例,判例,ハンレイ,名詞-普通名詞-一般,漢
専攻,専攻,センコウ,名詞-普通名詞-サ変可能,漢
セル鱻cell,せる,セル,名詞-普通名詞-一般,外
人質,人質,ヒトジチ,名詞-普通名詞-一般,混
握手,握手,アクシュ,名詞-普通名詞-サ変可能,漢
入国,入国,ニュウコク,名詞-普通名詞-サ変可能,漢
家畜,家畜,カチク,名詞-普通名詞-一般,漢
宙,宙,チュウ,名詞-普通名詞-一般,漢
本家,本家,ホンケ,名詞-普通名詞-一般,漢
戦士,戦士,センシ,名詞-普通名詞-一般,漢
寝台,寝台,シンダイ,名詞-普通名詞-一般,漢
機動,機動,キドウ,名詞-普通名詞-一般,漢
戦線,戦線,センセン,名詞-普通名詞-一般,漢
出願,出願,シュツガン,名詞-普通名詞-サ変可能,漢
ロマン,ロマン,ロマン,名詞-普通名詞-一般,外
県立,県立,ケンリツ,名詞-普通名詞-一般,漢
混同,混同,コンドウ,名詞-普通名詞-サ変可能,漢
過言,過言,カゴン,名詞-普通名詞-一般,漢
給食,給食,キュウショク,名詞-普通名詞-サ変可能,漢
凍結,凍結,トウケツ,名詞-普通名詞-サ変可能,漢
巫女,巫女,フジョ,名詞-普通名詞-一般,漢
騒音,騒音,ソウオン,名詞-普通名詞-一般,漢
誘拐,誘拐,ユウカイ,名詞-普通名詞-サ変可能,漢
孝,孝,コウ,名詞-普通名詞-一般,漢
火山,火山,カザン,名詞-普通名詞-一般,漢
デザイナー,デザイナー,デザイナー,名詞-普通名詞-一般,外
囚人,囚人,シュウジン,名詞-普通名詞-一般,漢
活気,活気,カッキ,名詞-普通名詞-一般,漢
狩猟,狩猟,シュリョウ,名詞-普通名詞-サ変可能,漢
農薬,農薬,ノウヤク,名詞-普通名詞-一般,漢
祖父母,祖父母,ソフボ,名詞-普通名詞-一般,漢
税務,税務,ゼイム,名詞-普通名詞-一般,漢
失望,失望,シツボウ,名詞-普通名詞-サ変可能,漢
一心,一心,イッシン,名詞-普通名詞-一般,漢
レコーダー,レコーダー,レコーダー,名詞-普通名詞-一般,外
換算,換算,カンサン,名詞-普通名詞-サ変可能,漢
民家,民家,ミンカ,名詞-普通名詞-一般,漢
ルネサンス,ルネサンス,ルネサンス,名詞-普通名詞-一般,外
好感,好感,コウカン,名詞-普通名詞-サ変可能,漢
異国,異国,イコク,名詞-普通名詞-一般,漢
オア,オア,オア,名詞-普通名詞-一般,外
樹立,樹立,ジュリツ,名詞-普通名詞-サ変可能,漢
水田,水田,スイデン,名詞-普通名詞-一般,漢
薬品,薬品,ヤクヒン,名詞-普通名詞-一般,漢
放映,放映,ホウエイ,名詞-普通名詞-サ変可能,漢
小僧,小僧,コゾウ,名詞-普通名詞-一般,混
多発,多発,タハツ,名詞-普通名詞-サ変可能,漢
混雑,混雑,コンザツ,名詞-普通名詞-サ変可能,漢
文面,文面,ブンメン,名詞-普通名詞-一般,漢
出力,出力,シュツリョク,名詞-普通名詞-サ変可能,漢
ライブ,ライブ,ライブ,名詞-普通名詞-一般,外
駐在,駐在,チュウザイ,名詞-普通名詞-サ変可能,漢
愛国,愛国,アイコク,名詞-普通名詞-一般,漢
ウエスト鱻west,ウエスト,ウエスト,名詞-普通名詞-一般,外
果実,果実,カジツ,名詞-普通名詞-一般,漢
伯爵,伯爵,ハクシャク,名詞-普通名詞-一般,漢
新興,新興,シンコウ,名詞-普通名詞-一般,漢
ギャップ,ギャップ,ギャップ,名詞-普通名詞-一般,外
連鎖,連鎖,レンサ,名詞-普通名詞-サ変可能,漢
円形,円形,エンケイ,名詞-普通名詞-一般,漢
愛用,愛用,アイヨウ,名詞-普通名詞-サ変可能,漢
海面,海面,カイメン,名詞-普通名詞-一般,漢
洗面,洗面,センメン,名詞-普通名詞-サ変可能,漢
シンガポール,シンガポール,シンガポール,名詞-固有名詞-地名-国,固
病棟,病棟,ビョウトウ,名詞-普通名詞-一般,漢
硬直,硬直,コウチョク,名詞-普通名詞-サ変可能,漢
選定,選定,センテイ,名詞-普通名詞-サ変可能,漢
神道,神道,シントウ,名詞-普通名詞-一般,漢
家臣,家臣,カシン,名詞-普通名詞-一般,漢
暗黙,暗黙,アンモク,名詞-普通名詞-一般,漢
発覚,発覚,ハッカク,名詞-普通名詞-サ変可能,漢
初日,初日,ショニチ,名詞-普通名詞-副詞可能,漢
有益,有益,ユウエキ,名詞-普通名詞-形状詞可能,漢
歴代,歴代,レキダイ,名詞-普通名詞-一般,漢
接点,接点,セッテン,名詞-普通名詞-一般,漢
名物,名物,メイブツ,名詞-普通名詞-一般,漢
投稿,投稿,トウコウ,名詞-普通名詞-サ変可能,漢
魔,魔,マ,名詞-普通名詞-一般,漢
知能,知能,チノウ,名詞-普通名詞-一般,漢
運行,運行,ウンコウ,名詞-普通名詞-サ変可能,漢
道程,道程,ドウテイ,名詞-普通名詞-一般,漢
退治,退治,タイジ,名詞-普通名詞-サ変可能,漢
同人,同人,ドウニン,名詞-普通名詞-一般,漢
競合,競合,キョウゴウ,名詞-普通名詞-サ変可能,漢
分別,分別,ブンベツ,名詞-普通名詞-サ変可能,漢
尺度,尺度,シャクド,名詞-普通名詞-一般,漢
離脱,離脱,リダツ,名詞-普通名詞-サ変可能,漢
町人,町人,チョウニン,名詞-普通名詞-一般,漢
妃,妃,ヒ,名詞-普通名詞-一般,漢
内臓,内臓,ナイゾウ,名詞-普通名詞-一般,漢
民俗,民俗,ミンゾク,名詞-普通名詞-一般,漢
ミサ,ミサ,ミサ,名詞-普通名詞-一般,外
熱意,熱意,ネツイ,名詞-普通名詞-一般,漢
靖国,靖国,ヤスクニ,名詞-固有名詞-一般,固
消息,消息,ショウソク,名詞-普通名詞-一般,漢
捕虜,捕虜,ホリョ,名詞-普通名詞-一般,漢
両立,両立,リョウリツ,名詞-普通名詞-サ変可能,漢
造作,造作,ゾウサ,名詞-普通名詞-一般,漢
将,将,ショウ,名詞-普通名詞-一般,漢
結末,結末,ケツマツ,名詞-普通名詞-一般,漢
運河,運河,ウンガ,名詞-普通名詞-一般,漢
古事,古事,コジ,名詞-普通名詞-一般,漢
決戦,決戦,ケッセン,名詞-普通名詞-サ変可能,漢
草原,草原,ソウゲン,名詞-普通名詞-一般,漢
阻害,阻害,ソガイ,名詞-普通名詞-サ変可能,漢
代行,代行,ダイコウ,名詞-普通名詞-サ変可能,漢
論点,論点,ロンテン,名詞-普通名詞-一般,漢
南西,南西,ナンセイ,名詞-普通名詞-一般,漢
ウエー,ウエー,ウエー,名詞-普通名詞-一般,外
条例,条例,ジョウレイ,名詞-普通名詞-一般,漢
負,負,フ,名詞-普通名詞-一般,漢
田圃,田んぼ,タンボ,名詞-普通名詞-一般,混
大気,大気,タイキ,名詞-普通名詞-一般,漢
ドーム,ドーム,ドーム,名詞-普通名詞-一般,外
ジャーナリズム,ジャーナリズム,ジャーナリズム,名詞-普通名詞-一般,外
ポルトガル,ポルトガル,ポルトガル,名詞-固有名詞-地名-国,固
浄化,浄化,ジョウカ,名詞-普通名詞-サ変可能,漢
アニメ,アニメ,アニメ,名詞-普通名詞-一般,外
創刊,創刊,ソウカン,名詞-普通名詞-サ変可能,漢
テンポ鱻tempo,テンポ,テンポ,名詞-普通名詞-一般,外
負荷,負荷,フカ,名詞-普通名詞-サ変可能,漢
勤労,勤労,キンロウ,名詞-普通名詞-サ変可能,漢
フォロー,フォロー,フォロー,名詞-普通名詞-サ変可能,外
店頭,店頭,テントウ,名詞-普通名詞-一般,漢
部族,部族,ブゾク,名詞-普通名詞-一般,漢
血縁,血縁,ケツエン,名詞-普通名詞-一般,漢
司祭,司祭,シサイ,名詞-普通名詞-一般,漢
サム,サム,サム,名詞-普通名詞-一般,固
ミスター,ミスター,ミスター,名詞-普通名詞-一般,外
隔離,隔離,カクリ,名詞-普通名詞-サ変可能,漢
ビジョン,ビジョン,ビジョン,名詞-普通名詞-一般,外
共済,共済,キョウサイ,名詞-普通名詞-一般,漢
題材,題材,ダイザイ,名詞-普通名詞-一般,漢
無力,無力,ムリョク,名詞-普通名詞-形状詞可能,漢
書斎,書斎,ショサイ,名詞-普通名詞-一般,漢
後部,後部,コウブ,名詞-普通名詞-一般,漢
容認,容認,ヨウニン,名詞-普通名詞-サ変可能,漢
リラックス,リラックス,リラックス,名詞-普通名詞-サ変可能,外
外人,外人,ガイジン,名詞-普通名詞-一般,漢
財務,財務,ザイム,名詞-普通名詞-一般,漢
海峡,海峡,カイキョウ,名詞-普通名詞-一般,漢
事物,事物,ジブツ,名詞-普通名詞-一般,漢
内務,内務,ナイム,名詞-普通名詞-一般,漢
従属,従属,ジュウゾク,名詞-普通名詞-サ変可能,漢
勧告,勧告,カンコク,名詞-普通名詞-サ変可能,漢
店長,店長,テンチョウ,名詞-普通名詞-一般,漢
絶好,絶好,ゼッコウ,名詞-普通名詞-一般,漢
冊子,冊子,サッシ,名詞-普通名詞-一般,漢
補足,補足,ホソク,名詞-普通名詞-サ変可能,漢
発作,発作,ホッサ,名詞-普通名詞-一般,漢
腐敗,腐敗,フハイ,名詞-普通名詞-サ変可能,漢
創出,創出,ソウシュツ,名詞-普通名詞-サ変可能,漢
サーバー,サーバー,サーバー,名詞-普通名詞-一般,外
下級,下級,カキュウ,名詞-普通名詞-一般,漢
総数,総数,ソウスウ,名詞-普通名詞-一般,漢
長寿,長寿,チョウジュ,名詞-普通名詞-形状詞可能,漢
県民,県民,ケンミン,名詞-普通名詞-一般,漢
繁殖,繁殖,ハンショク,名詞-普通名詞-サ変可能,漢
ペア,ペア,ペア,名詞-普通名詞-一般,外
包囲,包囲,ホウイ,名詞-普通名詞-サ変可能,漢
冷戦,冷戦,レイセン,名詞-普通名詞-一般,漢
対岸,対岸,タイガン,名詞-普通名詞-一般,漢
培養,培養,バイヨウ,名詞-普通名詞-サ変可能,漢
水産,水産,スイサン,名詞-普通名詞-一般,漢
進路,進路,シンロ,名詞-普通名詞-一般,漢
友好,友好,ユウコウ,名詞-普通名詞-一般,漢
痴呆,痴呆,チホウ,名詞-普通名詞-一般,漢
運搬,運搬,ウンパン,名詞-普通名詞-サ変可能,漢
高温,高温,コウオン,名詞-普通名詞-形状詞可能,漢
ローカル,ローカル,ローカル,名詞-普通名詞-形状詞可能,外
着目,着目,チャクモク,名詞-普通名詞-サ変可能,漢
乗用,乗用,ジョウヨウ,名詞-普通名詞-一般,漢
出家,出家,シュッケ,名詞-普通名詞-サ変可能,漢
真意,真意,シンイ,名詞-普通名詞-一般,漢
感慨,感慨,カンガイ,名詞-普通名詞-一般,漢
微塵,みじん,ミジン,名詞-普通名詞-一般,漢
山岳,山岳,サンガク,名詞-普通名詞-一般,漢
結晶,結晶,ケッショウ,名詞-普通名詞-サ変可能,漢
四角,四角,シカク,名詞-普通名詞-形状詞可能,漢
痕跡,痕跡,コンセキ,名詞-普通名詞-一般,漢
渡来,渡来,トライ,名詞-普通名詞-サ変可能,漢
勧誘,勧誘,カンユウ,名詞-普通名詞-サ変可能,漢
有用,有用,ユウヨウ,名詞-普通名詞-形状詞可能,漢
繊細,繊細,センサイ,名詞-普通名詞-形状詞可能,漢
一律,一律,イチリツ,名詞-普通名詞-副詞可能,漢
礼拝,礼拝,レイハイ,名詞-普通名詞-サ変可能,漢
スナック,スナック,スナック,名詞-普通名詞-一般,外
商事,商事,ショウジ,名詞-普通名詞-一般,漢
空腹,空腹,クウフク,名詞-普通名詞-形状詞可能,漢
土手,土手,ドテ,名詞-普通名詞-一般,混
カセット,カセット,カセット,名詞-普通名詞-一般,外
損傷,損傷,ソンショウ,名詞-普通名詞-サ変可能,漢
前出,前出,ゼンシュツ,名詞-普通名詞-サ変可能,漢
道理,道理,ドウリ,名詞-普通名詞-一般,漢
ノウハウ,ノウハウ,ノウハウ,名詞-普通名詞-一般,外
工程,工程,コウテイ,名詞-普通名詞-一般,漢
模倣,模倣,モホウ,名詞-普通名詞-サ変可能,漢
元禄,元禄,ゲンロク,名詞-固有名詞-一般,固
大尉,大尉,タイイ,名詞-普通名詞-一般,漢
大金,大金,タイキン,名詞-普通名詞-一般,漢
演習,演習,エンシュウ,名詞-普通名詞-サ変可能,漢
大夫,大夫,タイフ,名詞-普通名詞-一般,漢
本願,本願,ホンガン,名詞-普通名詞-一般,漢
ステーション,ステーション,ステーション,名詞-普通名詞-一般,外
メーク,メーク,メーク,名詞-普通名詞-サ変可能,外
芸人,芸人,ゲイニン,名詞-普通名詞-一般,漢
工,工,コウ,名詞-普通名詞-一般,漢
パイロット,パイロット,パイロット,名詞-普通名詞-一般,外
オート鱻auto,オート,オート,名詞-普通名詞-一般,外
納豆,納豆,ナットウ,名詞-普通名詞-一般,漢
宅配,宅配,タクハイ,名詞-普通名詞-サ変可能,漢
飼育,飼育,シイク,名詞-普通名詞-サ変可能,漢
ニュアンス,ニュアンス,ニュアンス,名詞-普通名詞-一般,外
表象,表象,ヒョウショウ,名詞-普通名詞-一般,漢
多忙,多忙,タボウ,名詞-普通名詞-形状詞可能,漢
病状,病状,ビョウジョウ,名詞-普通名詞-一般,漢
忍耐,忍耐,ニンタイ,名詞-普通名詞-サ変可能,漢
愛着,愛着,アイチャク,名詞-普通名詞-サ変可能,漢
登校,登校,トウコウ,名詞-普通名詞-サ変可能,漢
昆布,コンブ,コンブ,名詞-普通名詞-一般,外
ダウンロード,ダウンロード,ダウンロード,名詞-普通名詞-サ変可能,外
鑑賞,鑑賞,カンショウ,名詞-普通名詞-サ変可能,漢
日程,日程,ニッテイ,名詞-普通名詞-一般,漢
リンク鱻rink,リンク,リンク,名詞-普通名詞-一般,外
段落,段落,ダンラク,名詞-普通名詞-一般,漢
噴火,噴火,フンカ,名詞-普通名詞-サ変可能,漢
採集,採集,サイシュウ,名詞-普通名詞-サ変可能,漢
反復,反復,ハンプク,名詞-普通名詞-サ変可能,漢
管轄,管轄,カンカツ,名詞-普通名詞-サ変可能,漢
匹敵,匹敵,ヒッテキ,名詞-普通名詞-サ変可能,漢
合体,合体,ガッタイ,名詞-普通名詞-サ変可能,漢
対称,対称,タイショウ,名詞-普通名詞-形状詞可能,漢
総督,総督,ソウトク,名詞-普通名詞-一般,漢
関数,関数,カンスウ,名詞-普通名詞-一般,漢
上層,上層,ジョウソウ,名詞-普通名詞-一般,漢
香水,香水,コウスイ,名詞-普通名詞-一般,漢
造船,造船,ゾウセン,名詞-普通名詞-サ変可能,漢
外相,外相,ガイショウ,名詞-普通名詞-一般,漢
合唱,合唱,ガッショウ,名詞-普通名詞-サ変可能,漢
利子,利子,リシ,名詞-普通名詞-一般,漢
改訂,改訂,カイテイ,名詞-普通名詞-サ変可能,漢
シングル鱻single,シングル,シングル,名詞-普通名詞-一般,外
団結,団結,ダンケツ,名詞-普通名詞-サ変可能,漢
聖人,聖人,セイジン,名詞-普通名詞-一般,漢
松下,松下,マツシタ,名詞-固有名詞-一般,固
脈,脈,ミャク,名詞-普通名詞-一般,漢
魔女,魔女,マジョ,名詞-普通名詞-一般,漢
充足,充足,ジュウソク,名詞-普通名詞-サ変可能,漢
医院,医院,イイン,名詞-普通名詞-一般,漢
内陸,内陸,ナイリク,名詞-普通名詞-一般,漢
優遇,優遇,ユウグウ,名詞-普通名詞-サ変可能,漢
発条,発条,ハツジョウ,名詞-普通名詞-一般,漢
単身,単身,タンシン,名詞-普通名詞-副詞可能,漢
先駆,先駆,センク,名詞-普通名詞-サ変可能,漢
生計,生計,セイケイ,名詞-普通名詞-一般,漢
ツリー,ツリー,ツリー,名詞-普通名詞-一般,外
計上,計上,ケイジョウ,名詞-普通名詞-サ変可能,漢
中将,中将,チュウジョウ,名詞-普通名詞-一般,漢
公団,公団,コウダン,名詞-普通名詞-一般,漢
免疫,免疫,メンエキ,名詞-普通名詞-一般,漢
スキル,スキル,スキル,名詞-普通名詞-一般,外
見本,見本,ミホン,名詞-普通名詞-一般,混
負債,負債,フサイ,名詞-普通名詞-一般,漢
辞退,辞退,ジタイ,名詞-普通名詞-サ変可能,漢
瓦,瓦,カワラ,名詞-普通名詞-一般,外
親分,親分,オヤブン,名詞-普通名詞-一般,混
品種,品種,ヒンシュ,名詞-普通名詞-一般,漢
主権,主権,シュケン,名詞-普通名詞-一般,漢
全土,全土,ゼンド,名詞-普通名詞-一般,漢
改札,改札,カイサツ,名詞-普通名詞-サ変可能,漢
西瓜,スイカ,スイカ,名詞-普通名詞-一般,漢
本番,本番,ホンバン,名詞-普通名詞-一般,漢
直結,直結,チョッケツ,名詞-普通名詞-サ変可能,漢
車体,車体,シャタイ,名詞-普通名詞-一般,漢
罪悪,罪悪,ザイアク,名詞-普通名詞-一般,漢
啓蒙,啓蒙,ケイモウ,名詞-普通名詞-サ変可能,漢
洗剤,洗剤,センザイ,名詞-普通名詞-一般,漢
カウンセリング,カウンセリング,カウンセリング,名詞-普通名詞-サ変可能,外
学科,学科,ガッカ,名詞-普通名詞-一般,漢
心底,心底,シンソコ,名詞-普通名詞-一般,混
住,住,ジュウ,名詞-普通名詞-一般,漢
公家,公家,クゲ,名詞-普通名詞-一般,漢
大概,たいがい,タイガイ,名詞-普通名詞-副詞可能,漢
所収,所収,ショシュウ,名詞-普通名詞-一般,漢
東方,東方,トウホウ,名詞-普通名詞-一般,漢
首長,首長,シュチョウ,名詞-普通名詞-一般,漢
少佐,少佐,ショウサ,名詞-普通名詞-一般,漢
補佐,補佐,ホサ,名詞-普通名詞-サ変可能,漢
伝記,伝記,デンキ,名詞-普通名詞-一般,漢
イラスト,イラスト,イラスト,名詞-普通名詞-一般,外
探索,探索,タンサク,名詞-普通名詞-サ変可能,漢
使節,使節,シセツ,名詞-普通名詞-一般,漢
拉致,拉致,ラチ,名詞-普通名詞-サ変可能,漢
搭乗,搭乗,トウジョウ,名詞-普通名詞-サ変可能,漢
根性,根性,コンジョウ,名詞-普通名詞-一般,漢
事変,事変,ジヘン,名詞-普通名詞-一般,漢
自負,自負,ジフ,名詞-普通名詞-サ変可能,漢
キーボード,キーボード,キーボード,名詞-普通名詞-一般,外
キリシタン,キリシタン,キリシタン,名詞-普通名詞-一般,外
罰金,罰金,バッキン,名詞-普通名詞-一般,漢
語学,語学,ゴガク,名詞-普通名詞-一般,漢
炉,炉,ロ,名詞-普通名詞-一般,漢
オリーブ,オリーブ,オリーブ,名詞-普通名詞-一般,外
郷里,郷里,キョウリ,名詞-普通名詞-一般,漢
試行,試行,シコウ,名詞-普通名詞-サ変可能,漢
学力,学力,ガクリョク,名詞-普通名詞-一般,漢
後年,後年,コウネン,名詞-普通名詞-副詞可能,漢
抄,抄,ショウ,名詞-普通名詞-一般,漢
極度,極度,キョクド,名詞-普通名詞-形状詞可能,漢
胎児,胎児,タイジ,名詞-普通名詞-一般,漢
祝日,祝日,シュクジツ,名詞-普通名詞-一般,漢
暗号,暗号,アンゴウ,名詞-普通名詞-一般,漢
念仏,念仏,ネンブツ,名詞-普通名詞-サ変可能,漢
工芸,工芸,コウゲイ,名詞-普通名詞-一般,漢
インク,インク,インク,名詞-普通名詞-一般,外
特例,特例,トクレイ,名詞-普通名詞-一般,漢
エッセー,エッセー,エッセー,名詞-普通名詞-一般,外
性欲,性欲,セイヨク,名詞-普通名詞-一般,漢
宣告,宣告,センコク,名詞-普通名詞-サ変可能,漢
郵政,郵政,ユウセイ,名詞-普通名詞-一般,漢
粒子,粒子,リュウシ,名詞-普通名詞-一般,漢
母乳,母乳,ボニュウ,名詞-普通名詞-一般,漢
高層,高層,コウソウ,名詞-普通名詞-一般,漢
途,途,ト,名詞-普通名詞-一般,漢
憎悪,憎悪,ゾウオ,名詞-普通名詞-サ変可能,漢
立証,立証,リッショウ,名詞-普通名詞-サ変可能,漢
壊滅,壊滅,カイメツ,名詞-普通名詞-サ変可能,漢
下流,下流,カリュウ,名詞-普通名詞-一般,漢
死去,死去,シキョ,名詞-普通名詞-サ変可能,漢
儒教,儒教,ジュキョウ,名詞-普通名詞-一般,漢
反撃,反撃,ハンゲキ,名詞-普通名詞-サ変可能,漢
ボーナス,ボーナス,ボーナス,名詞-普通名詞-一般,外
アンダー,アンダー,アンダー,名詞-普通名詞-一般,外
缶詰め,缶詰め,カンヅメ,名詞-普通名詞-一般,混
分岐,分岐,ブンキ,名詞-普通名詞-サ変可能,漢
虐殺,虐殺,ギャクサツ,名詞-普通名詞-サ変可能,漢
甲子,甲子,コウシ,名詞-普通名詞-一般,漢
実業,実業,ジツギョウ,名詞-普通名詞-一般,漢
了承,了承,リョウショウ,名詞-普通名詞-サ変可能,漢
通夜,通夜,ツヤ,名詞-普通名詞-一般,漢
ペニス,ペニス,ペニス,名詞-普通名詞-一般,外
万事,万事,バンジ,名詞-普通名詞-一般,漢
身辺,身辺,シンペン,名詞-普通名詞-一般,漢
ノット,ノット,ノット,名詞-普通名詞-一般,外
優越,優越,ユウエツ,名詞-普通名詞-サ変可能,漢
無念,無念,ムネン,名詞-普通名詞-形状詞可能,漢
破滅,破滅,ハメツ,名詞-普通名詞-サ変可能,漢
キャンセル,キャンセル,キャンセル,名詞-普通名詞-サ変可能,外
ベルギー,ベルギー,ベルギー,名詞-固有名詞-地名-国,固
通告,通告,ツウコク,名詞-普通名詞-サ変可能,漢
系譜,系譜,ケイフ,名詞-普通名詞-一般,漢
銘柄,銘柄,メイガラ,名詞-普通名詞-一般,混
過失,過失,カシツ,名詞-普通名詞-一般,漢
車輪,車輪,シャリン,名詞-普通名詞-一般,漢
政,政,セイ,名詞-普通名詞-一般,漢
台頭,台頭,タイトウ,名詞-普通名詞-サ変可能,漢
静,静,セイ,名詞-普通名詞-形状詞可能,漢
フォー鱻four,フォー,フォー,名詞-普通名詞-一般,外
任,任,ニン,名詞-普通名詞-一般,漢
崇拝,崇拝,スウハイ,名詞-普通名詞-サ変可能,漢
本位,本位,ホンイ,名詞-普通名詞-一般,漢
南下,南下,ナンカ,名詞-普通名詞-サ変可能,漢
容姿,容姿,ヨウシ,名詞-普通名詞-一般,漢
途轍,途轍,トテツ,名詞-普通名詞-一般,漢
時速,時速,ジソク,名詞-普通名詞-一般,漢
起訴,起訴,キソ,名詞-普通名詞-サ変可能,漢
比重,比重,ヒジュウ,名詞-普通名詞-一般,漢
家人,家人,ケニン,名詞-普通名詞-一般,漢
学説,学説,ガクセツ,名詞-普通名詞-一般,漢
書紀,書紀,ショキ,名詞-普通名詞-一般,漢
登記,登記,トウキ,名詞-普通名詞-サ変可能,漢
転倒,転倒,テントウ,名詞-普通名詞-サ変可能,漢
書面,書面,ショメン,名詞-普通名詞-一般,漢
教官,教官,キョウカン,名詞-普通名詞-一般,漢
参議,参議,サンギ,名詞-普通名詞-一般,漢
所要,所要,ショヨウ,名詞-普通名詞-一般,漢
一概,一概,イチガイ,名詞-普通名詞-一般,漢
参画,参画,サンカク,名詞-普通名詞-サ変可能,漢
代議,代議,ダイギ,名詞-普通名詞-サ変可能,漢
善意,善意,ゼンイ,名詞-普通名詞-一般,漢
ディスプレー,ディスプレー,ディスプレー,名詞-普通名詞-一般,外
未練,未練,ミレン,名詞-普通名詞-形状詞可能,漢
語源,語源,ゴゲン,名詞-普通名詞-一般,漢
疎開,疎開,ソカイ,名詞-普通名詞-サ変可能,漢
風習,風習,フウシュウ,名詞-普通名詞-一般,漢
レッド,レッド,レッド,名詞-普通名詞-一般,外
最強,最強,サイキョウ,名詞-普通名詞-一般,漢
栗鼠,リス,リス,名詞-普通名詞-一般,漢
公爵,公爵,コウシャク,名詞-普通名詞-一般,漢
国鉄,国鉄,コクテツ,名詞-固有名詞-一般,固
不尽,不尽,フジン,名詞-普通名詞-一般,漢
世俗,世俗,セゾク,名詞-普通名詞-一般,漢
ホモ,ホモ,ホモ,名詞-普通名詞-一般,外
平日,平日,ヘイジツ,名詞-普通名詞-副詞可能,漢
立体,立体,リッタイ,名詞-普通名詞-一般,漢
配列,配列,ハイレツ,名詞-普通名詞-サ変可能,漢
代償,代償,ダイショウ,名詞-普通名詞-一般,漢
別人,別人,ベツジン,名詞-普通名詞-一般,漢
瞬時,瞬時,シュンジ,名詞-普通名詞-一般,漢
多量,多量,タリョウ,名詞-普通名詞-形状詞可能,漢
要点,要点,ヨウテン,名詞-普通名詞-一般,漢
図面,図面,ズメン,名詞-普通名詞-一般,漢
実習,実習,ジッシュウ,名詞-普通名詞-サ変可能,漢
血管,血管,ケッカン,名詞-普通名詞-一般,漢
敵対,敵対,テキタイ,名詞-普通名詞-サ変可能,漢
神仏,神仏,シンブツ,名詞-普通名詞-一般,漢
奇怪,奇怪,キカイ,名詞-普通名詞-形状詞可能,漢
矯正,矯正,キョウセイ,名詞-普通名詞-サ変可能,漢
大師,大師,ダイシ,名詞-普通名詞-一般,漢
発散,発散,ハッサン,名詞-普通名詞-サ変可能,漢
船舶,船舶,センパク,名詞-普通名詞-一般,漢
受給,受給,ジュキュウ,名詞-普通名詞-サ変可能,漢
グッズ,グッズ,グッズ,名詞-普通名詞-一般,外
フォー鱻for,フォー,フォー,名詞-普通名詞-一般,外
本堂,本堂,ホンドウ,名詞-普通名詞-一般,漢
日産,日産,ニッサン,名詞-固有名詞-一般,固
年賀,年賀,ネンガ,名詞-普通名詞-一般,漢
行進,行進,コウシン,名詞-普通名詞-サ変可能,漢
レッスン,レッスン,レッスン,名詞-普通名詞-一般,外
発送,発送,ハッソウ,名詞-普通名詞-サ変可能,漢
大木,大木,タイボク,名詞-普通名詞-一般,漢
駆逐,駆逐,クチク,名詞-普通名詞-サ変可能,漢
山間,山間,サンカン,名詞-普通名詞-一般,漢
既成,既成,キセイ,名詞-普通名詞-一般,漢
